Kraken Experian Tier,Kraken Experian Tier Class,Kraken Experian Mosaic Household,Kraken Experian First Lead Sub Group,Kraken Experian First Lead Group,Kraken Experian Number of Children,Kraken Experian Consumer View Profitability Score,Kraken Experian Direct Mail Responder,Kraken Experian Dwelling Type,Kraken Experian Estimated Household Income,Kraken Experian Estimated Current Home Value,Kraken Experian Gender Code,Kraken Experian Individual Education,Kraken Experian Length of Residence,Kraken Experian Marital Status,Kraken Experian Occupation Group,Kraken Experian State Region,Kraken Experian Membership Tcv,Kraken Experian Membership Level,Kraken Experian Membership Length Days,Kraken Experian Product Tcv,Kraken Experian Count
1,B,Rural Southern Bliss, -,Media Buy,No Children,5,Y - SINGLE BUYER,S - Single Family,$75000-$99999,"$259,062 ",Male,Grad Degree - Extremely Likely,New,Married - Likely,Mgmt/Business/Financial Oper-K,GA,"1,864.14",Elite,"2,594",0,1
1,H,Full Pockets  Empty Nests, -,Media Buy,No Children,4,M - MULTI BUYER,S - Single Family,$75000-$99999,"$116,032 ",Male,HS Diploma - Extremely Likely,3 Years,Unknown Status - PDM,Other-I,MO,909.02,Elite,850,0,1
1,G,Cul de Sac Diversity, -,Media Buy,No Children,4,U - UNKNOWN,S - Single Family,$50000-$74999,"$193,766 ",Male,Some College - Likely,8 Years,Married - Likely,Mgmt/Business/Financial Oper-I,TX,762.5,Elite,"1,009",317,1
1,G,American Royalty, -,Media Buy,No Children,3,M - MULTI BUYER,S - Single Family,$35000-$49999,"$717,001 ",Male,Some College -Extremely Likely,4 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,TN,593.88,Elite,729,55,1
1,E,Picture Perfect Families, -,Media Buy,4 = 4 Children,1,M - MULTI BUYER,S - Single Family,$250000+,"$551,373 ",Male,Grad Degree - Likely,2 Years,Married - Likely,Mgmt/Business/Financial Oper-I,WI,886.42,Elite,"1,203",84.95,1
9,H,Unspoiled Splendor, -,Media Buy,No Children,6,,,$125000-$149999,"$237,000 ",Male,Some College -Extremely Likely,2 Years,Married - Likely,Sales-I,NY,143,Silver,334,0,1
9,H,No place like Home, -,Media Buy,No Children,5,,,$75000-$99999,"$182,000 ",Male,Some College - Likely,13 Years,Married - Likely,Retired-I,TX,104,Silver,242,0,1
1,A,Boomers and Boomerangs, -,Media Buy,2 = 2 Chldren,2,U - UNKNOWN,S - Single Family,$75000-$99999,"$210,434 ",Male,HS Diploma - Extremely Likely,27 Years,Married - Extremely Likely,Sales-K,GA,"1,572.84",Elite,"2,097",64.95,1
1,C,Full Pockets  Empty Nests, -,Media Buy,No Children,4,U - UNKNOWN,S - Single Family,$75000-$99999,"$403,612 ",Male,Bach Degree - Likely,New,Married - Likely,Blue Collar-I,FL,"1,369.82",Elite,"1,645",234.95,1
1,F,Silver Sophisticates, -,Media Buy,No Children,1,M - MULTI BUYER,S - Single Family,$100000-$124999,,Male,Grad Degree - Extremely Likely,35 Years,Married - Extremely Likely,Mgmt/Business/Financial Oper-K,IL,405.44,Elite,"1,218",0,1
1,B,Dare to Dream, -,Media Buy,No Children,8,U - UNKNOWN,A - Multi-Family & Condominium,$1000-$14999,,Male,HS Diploma - Likely,2 Years,Single - Likely,Blue Collar-I,FL,"2,750",Elite,"2,602",0,1
1,F,Wired for Success, -,Media Buy,No Children,5,U - UNKNOWN,A - Multi-Family & Condominium,$50000-$74999,,Male,Bach Degree - Extremely Likely,4 Years,Married - Extremely Likely,Profess:Legal/Educ/Health-K,CO,770,Elite,"1,173",0,1
